"","V1","Home","HomeStartingPitcher","HomeStartingPlayer_1","HomeStartingPlayer_2","HomeStartingPlayer_3","HomeStartingPlayer_4","HomeStartingPlayer_5","HomeStartingPlayer_6","HomeStartingPlayer_7","HomeStartingPlayer_8","HomeStartingPlayer_9","Visitor","VisitorStartingPitcher","VisitorStartingPlayer_1","VisitorStartingPlayer_2","VisitorStartingPlayer_3","VisitorStartingPlayer_4","VisitorStartingPlayer_5","VisitorStartingPlayer_6","VisitorStartingPlayer_7","VisitorStartingPlayer_8","VisitorStartingPlayer_9","homeWin","HomeStartingPitcher_G","HomeStartingPitcher_GD","HomeStartingPitcher_CG","HomeStartingPitcher_SHO","HomeStartingPitcher_SV","HomeStartingPitcher_IPouts","HomeStartingPitcher_H","HomeStartingPitcher_ERA","HomeStartingPitcher_BB","HomeStartingPitcher_HBP","VisitorStartingPitcher_G","VisitorStartingPitcher_GD","VisitorStartingPitcher_CG","VisitorStartingPitcher_SHO","VisitorStartingPitcher_SV","VisitorStartingPitcher_IPouts","VisitorStartingPitcher_H","VisitorStartingPitcher_ERA","VisitorStartingPitcher_BB","VisitorStartingPitcher_HBP"
"33",32,"ATL","norribu01","inciaen01","aybarer01","freemfr01","garciad01","markani01","olivehe01","pierzaj01","peterja01","norribu01","WAS","strasst01","taylomi02","rendoan01","harpebr03","zimmery01","murphda08","werthja01","ramoswi01","espinda01","strasst01",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",33,"CIN","finnebr01","cozarza01","suareeu01","vottojo01","mesorde01","bruceja01","schebsc01","dejesiv02","finnebr01","hamilbi02","PHI","nolaaa01","hernace02","galvifr01","herreod01","francma02","rufda01","ruppca01","bourjpe01","goeddty01","nolaaa01",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",34,"MIA","fernajo02","gordode01","ozunama01","yelicch01","stantmi03","pradoma01","bourju01","realmjt01","hechaad01","fernajo02","DET","sanchan01","kinslia01","uptonju01","cabremi01","martijd02","casteni01","saltaja01","iglesjo01","gosean01","sanchan01",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",35,"MIL","jungmta01","santado01","gennesc01","braunry02","lucrojo01","cartech02","florera02","hillaa01","jungmta01","villajo01","SFN","samarje01","paganan01","panikjo01","poseybu01","pencehu01","beltbr01","duffyma01","crawfbr01","samarje01","blancgr01",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",36,"PIT","nicasju01","jasojo01","mccutan01","freesda01","martest01","cervefr01","polangr01","harrijo05","mercejo03","nicasju01","SLN","leakemi01","carpema01","piscost01","hollima01","mossbr01","molinya01","wongko01","gyorkje01","hazelje01","leakemi01",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",37,"SDN","cashnan01","jayjo02","spangco01","kempma01","myerswi01","solarya01","norride01","ramiral03","blashja01","cashnan01","LAN","maedake01","utleych01","seageco01","turneju01","gonzaad01","puigya01","crawfca02","pederjo01","ellisaj01","maedake01",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",38,"ANA","santihe01","escobyu01","gentrcr01","troutmi01","pujolal01","croncj01","calhoko01","simmoan01","sotoge01","giavojo01","TEX","hollade01","deshide02","choosh01","beltrad01","fieldpr01","desmoia01","morelmi01","odorro01","andruel01","chiriro01",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",39,"BAL","jimenub01","rickajo01","reimono01","machama01","davisch02","trumbma01","hardyjj01","alvarpe01","schoojo01","josepca01","MIN","hugheph01","doziebr01","santada01","mauerjo01","sanomi01","plouftr01","rosared01","escobed01","murphjr01","buxtoby01",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",40,"NYA","eovalna01","ellsbja01","gardnbr01","rodrial01","teixema01","mccanbr01","beltrca01","headlch01","castrst01","gregodi01","HOU","fiersmi01","altuvjo01","springe01","correca01","rasmuco01","gomezca01","valbulu01","whitety01","tuckepr01","kratzer01",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",41,"OAK","graveke01","burnsbi02","lowrije01","reddijo01","valenda01","vogtst01","coghlch01","alonsyo01","semiema01","crispco01","CHA","latosma01","eatonad02","cabreme01","abreujo02","frazito01","garciav01","shuckja01","lawribr01","navardi01","saladty01",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",42,"ARI","delarru01","segurje01","ahmedni01","goldspa01","peralda01","castiwe01","lambja01","tomasya01","owingch01","delarru01","CHN","lackejo01","fowlede01","heywaja01","zobribe01","rizzoan01","bryankr01","schwaky01","montemi01","russead02","lackejo01",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",43,"CIN","stephro01","schebsc01","suareeu01","vottojo01","duvalad01","bruceja01","pachejo01","dejesiv02","barnhtu01","stephro01","PHI","mortoch02","galvifr01","herreod01","francma02","howarry01","blancan01","huntece01","ruizca01","bourjpe01","mortoch02",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",44,"SFN","peavyja01","spande01","panikjo01","poseybu01","pencehu01","beltbr01","duffyma01","crawfbr01","peavyja01","paganan01","LAN","woodal02","utleych01","seageco01","puigya01","gonzaad01","vanslsc01","pederjo01","hernaen02","barneau01","woodal02",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",45,"WAS","roarkta01","taylomi02","rendoan01","harpebr03","zimmery01","werthja01","murphda08","ramoswi01","espinda01","roarkta01","MIA","conlead01","gordode01","ozunama01","yelicch01","stantmi03","pradoma01","bourju01","realmjt01","hechaad01","conlead01",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",46,"ANA","shoemma01","escobyu01","navada01","troutmi01","pujolal01","calhoko01","simmoan01","choiji01","perezca02","pennicl01","TEX","griffaj01","deshide02","choosh01","fieldpr01","beltrad01","morelmi01","desmoia01","odorro01","andruel01","chiriro01",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",47,"BAL","tillmch01","rickajo01","reimono01","machama01","davisch02","trumbma01","wietema01","alvarpe01","schoojo01","flahery01","TBA","archech01","forsylo01","morrilo01","longoev01","dickeco01","jennide01","millebr02","souzast01","kiermke01","congeha01",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",48,"CHA","danksjo01","eatonad02","rolliji01","abreujo02","frazito01","cabreme01","garciav01","lawribr01","avilaal01","jacksau01","CLE","salazda01","davisra01","kipnija01","lindofr01","napolmi01","santaca01","gomesya01","byrdma01","uribeju01","ramirjo01",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",49,"DET","zimmejo02","kinslia01","uptonju01","cabremi01","martivi01","martijd02","casteni01","mccanja02","iglesjo01","gosean01","NYA","severlu01","ellsbja01","gardnbr01","castrst01","teixema01","ackledu01","headlch01","gregodi01","hicksaa01","rominau01",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",50,"KCA","ventuyo01","escobal02","moustmi01","cainlo01","hosmeer01","moralke01","gordoal01","perezsa02","infanom01","fuentre01","MIN","santaer01","doziebr01","santada01","mauerjo01","sanomi01","plouftr01","parkby01","escobed01","suzukku01","buxtoby01",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",51,"SEA","walketa01","aokino01","marteke01","canoro01","cruzne02","seageky01","iannech01","gutiefr01","leeda02","martile01","OAK","surkaer01","burnsbi02","lowrije01","reddijo01","valenda01","vogtst01","daviskh01","coghlch01","alonsyo01","semiema01",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",52,"TOR","stromma01","pillake01","donaljo02","bautijo02","encared01","tulowtr01","saundmi01","martiru01","goinsry01","barneda01","BOS","kellyjo05","bettsmo01","pedrodu01","bogaexa01","ortizda01","ramirha01","shawtr01","holtbr01","hanigry01","bradlja02",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",53,"ARI","rayro02","segurje01","britoso01","goldspa01","peralda01","castiwe01","lambja01","tomasya01","rayro02","ahmedni01","CHN","hammeja01","fowlede01","heywaja01","zobribe01","rizzoan01","bryankr01","solerjo01","russead02","rossda01","hammeja01",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",54,"ATL","wislema01","inciaen01","aybarer01","freemfr01","garciad01","markani01","olivehe01","flowety01","beckhgo01","wislema01","SLN","garcija02","carpema01","piscost01","hollima01","adamsma01","grichra01","molinya01","wongko01","gyorkje01","garcija02",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",55,"CIN","simonal01","cozarza01","suareeu01","vottojo01","phillbr01","mesorde01","bruceja01","duvalad01","simonal01","hamilbi02","PIT","liriafr01","jasojo01","mccutan01","freesda01","martest01","cervefr01","polangr01","harrijo05","mercejo03","liriafr01",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
