,Dates,DayNight,Home,HomeLeague,HomeScore,HomeStartingPitcher,HomeStartingPlayer_1,HomeStartingPlayer_2,HomeStartingPlayer_3,HomeStartingPlayer_4,HomeStartingPlayer_5,HomeStartingPlayer_6,HomeStartingPlayer_7,HomeStartingPlayer_8,HomeStartingPlayer_9,Visitor,VisitorLeague,VisitorScore,VisitorStartingPitcher,VisitorStartingPlayer_1,VisitorStartingPlayer_2,VisitorStartingPlayer_3,VisitorStartingPlayer_4,VisitorStartingPlayer_5,VisitorStartingPlayer_6,VisitorStartingPlayer_7,VisitorStartingPlayer_8,VisitorStartingPlayer_9
45,20170406,D,MIN,AL,5,gibsk002,dozib001,keplm001,buxtb001,mauej001,sanom001,castj006,polaj001,rosae001,santd001,KCA,AL,3,hammj002,gorda001,mousm001,cainl001,hosme001,peres002,mossb001,orlap001,escoa003,mondr003
46,20170406,D,OAK,AL,5,triga001,davir003,semim001,lowrj001,davik003,healr001,plout001,canhm001,phegj001,rosaa001,ANA,AL,1,skagt001,escoy001,calhk001,troum001,pujoa001,cronc002,reveb001,simma001,pennc001,perec003
47,20170406,N,TBA,AL,2,snelb001,dickc002,kierk001,longe001,millb002,souzs001,morrl001,beckt001,smitm007,sucrj001,TOR,AL,5,strom001,pears001,donaj001,bautj002,morak001,tulot001,martr004,smoaj001,pillk001,barnd001
48,20170407,N,ARI,NL,7,mills001,polla001,perad001,goldp001,lambj001,tomay001,drurb001,iannc001,ahmen001,mills001,CLE,AL,3,tomlj001,santc002,lindf001,branm003,encae001,ramij003,diazy001,naqut001,gomey001,tomlj001
49,20170407,D,COL,NL,2,freek001,blacc001,lemad001,gonzc001,arenn001,stort001,reynm001,cards001,garnd001,freek001,LAN,NL,1,ryu-h001,forsl001,gutif001,turnj001,puigy001,vanss001,grany001,herne001,pedej001,ryu-h001
50,20170407,N,MIL,NL,2,nelsj004,villj001,santd002,braur002,shawt001,aguij001,pereh001,pinam001,arcio002,nelsj004,CHN,NL,1,andeb004,schwk001,bryak001,rizza001,zobrb001,russa002,heywj001,contw001,andeb004,baezj001
51,20170407,N,NYN,NL,2,wheez001,reyej001,cabra002,cespy001,florw001,granc001,walkn001,brucj001,river003,wheez001,MIA,NL,7,chenw001,gordd002,ellia001,yelic001,stanm004,bourj002,ozunm001,dietd001,hecha001,chenw001
52,20170407,D,PHI,NL,6,velav001,hernc005,kendh001,herro001,franm004,saunm001,joset001,ruppc001,galvf001,velav001,WAS,NL,7,schem001,turnt001,eatoa002,harpb003,murpd006,zimmr001,wertj001,renda001,wietm001,schem001
53,20170407,D,PIT,NL,5,novai001,marts002,bellj005,mccua001,polag001,freed001,cervf001,harrj002,mercj002,novai001,ATL,NL,4,foltm001,incie001,swand001,freef001,kempm001,markn001,philb001,garca004,suzuk001,foltm001
54,20170407,D,SDN,NL,7,perdl002,margm001,jankt001,myerw001,solay001,schir001,renfh001,hedga001,aybae001,perdl002,SFN,NL,6,cainm001,panij002,hilla001,beltb001,crawb001,hundn001,nunee002,parkj002,herng001,cainm001
55,20170407,N,SLN,NL,0,leakm001,fowld001,diaza003,carpm002,piscs001,peraj001,moliy001,gricr001,wongk001,leakm001,CIN,NL,2,garra001,hamib001,peraj003,vottj001,duvaa001,sches001,cozaz001,genns001,barnt001,garra001
56,20170407,N,ANA,AL,5,chavj001,escoy001,calhk001,troum001,pujoa001,cronc002,maybc001,simma001,espid001,maldm001,SEA,AL,1,gally001,seguj002,hanim001,canor001,cruzn002,seagk001,valed001,dysoj001,zunim001,hereg002
57,20170407,N,BAL,AL,6,jimeu001,smits002,jonea003,machm001,davic003,trumm001,castw002,kim-h001,schoj001,hardj003,NYA,AL,5,sevel001,gardb001,sancg002,birdg001,hollm001,ellsj001,casts001,headc001,judga001,torrr001
58,20170407,N,CHA,AL,1,holld003,salat001,andet001,cabrm002,abrej003,frazt001,aschc001,garca003,sotog001,garcl004,MIN,AL,3,hughp001,dozib001,grosr001,buxtb001,sanom001,polaj001,keplm001,escoe001,gimec001,rosae001
59,20170407,D,DET,AL,6,fulmm001,kinsi001,castn001,cabrm001,martv001,uptoj001,collt002,mccaj001,jonej006,iglej001,BOS,AL,5,wrigs001,holtb002,pedrd001,benia002,morem001,younc004,bradj001,leons001,sandp001,hernm003
60,20170407,N,HOU,AL,1,fierm001,sprig001,brega001,altuj001,corrc001,beltc001,gatte001,reddj001,gurry001,aokin001,KCA,AL,5,vargj001,gorda001,mousm001,cainl001,hosme001,peres002,mossb001,orlap001,escoa003,mondr003
61,20170407,N,TBA,AL,10,andrm001,souzs001,kierk001,longe001,weekr001,norrd001,millb002,beckt001,robed004,bourp001,TOR,AL,8,lirif001,travd001,donaj001,bautj002,morak001,tulot001,smoaj001,carre001,saltj001,pillk001
62,20170407,N,TEX,AL,10,grifa002,gomec002,choos001,mazan001,napom001,odorr001,lucrj001,gallj002,andre001,profj001,OAK,AL,5,alcar001,davir003,joycm001,healr001,davik003,vogts001,lowrj001,plout001,alony001,semim001
63,20170408,N,ARI,NL,11,greiz001,owinc001,perad001,goldp001,lambj001,tomay001,drurb001,hazej001,mathj001,greiz001,CLE,AL,2,bauet001,santc002,lindf001,branm003,encae001,ramij003,diazy001,naqut001,perer003,bauet001
64,20170408,N,COL,NL,4,grayj003,blacc001,lemad001,arenn001,stort001,reynm001,parrg001,cards001,garnd001,grayj003,LAN,NL,2,kersc001,tolea001,seagc001,turnj001,gonza003,pedej001,grany001,puigy001,utlec001,kersc001
65,20170408,N,MIL,NL,6,milot001,villj001,thame001,shawt001,aguij001,nieuk001,frann001,bandj001,arcio002,milot001,CHN,NL,11,hendk001,schwk001,bryak001,rizza001,zobrb001,russa002,contw001,baezj001,hendk001,almoa002
66,20170408,N,NYN,NL,1,gselr001,granc001,cabra002,cespy001,florw001,walkn001,brucj001,dudal001,darnt001,gselr001,MIA,NL,8,conla001,realj001,rojam002,yelic001,stanm004,bourj002,ozunm001,dietd001,hecha001,conla001
67,20170408,N,PHI,NL,17,nolaa001,hernc005,kendh001,herro001,franm004,saunm001,joset001,ruppc001,galvf001,nolaa001,WAS,NL,3,guthj001,turnt001,eatoa002,harpb003,murpd006,zimmr001,wertj001,renda001,wietm001,guthj001
68,20170408,N,PIT,NL,6,kuhlc001,fraza001,marts002,mccua001,polag001,jasoj001,cervf001,harrj002,mercj002,kuhlc001,ATL,NL,4,dickr001,incie001,swand001,freef001,garca004,markn001,philb001,petej002,suzuk001,dickr001
69,20170408,N,SDN,NL,2,chacj001,margm001,myerw001,solay001,renfh001,blasj001,sardl001,hedga001,corda001,chacj001,SFN,NL,1,bumgm001,spand001,beltb001,pench001,poseb001,crawb001,nunee002,panij002,parkj002,bumgm001
70,20170408,D,SLN,NL,10,wachm001,fowld001,diaza003,carpm002,adamm002,moliy001,gricr001,gyorj001,wongk001,wachm001,CIN,NL,4,arrob001,genns001,alcaa001,vottj001,duvaa001,suare001,cozaz001,kivlp001,barnt001,arrob001
71,20170408,N,ANA,AL,5,nolar001,escoy001,calhk001,troum001,pujoa001,simma001,maybc001,martj007,espid001,maldm001,SEA,AL,4,hernf002,seguj002,hanim001,canor001,cruzn002,seagk001,valed001,martl004,zunim001,dysoj001
72,20170408,D,BAL,AL,5,gausk001,smits002,jonea003,machm001,davic003,trumm001,castw002,kim-h001,schoj001,hardj003,NYA,AL,4,tanam001,gardb001,sancg002,hollm001,cartc002,ellsj001,casts001,headc001,hicka001,torrr001
73,20170408,D,CHA,AL,6,gonzm003,salat001,andet001,cabrm002,abrej003,frazt001,garca003,sotog001,davim005,may-j001,MIN,AL,2,mejia001,dozib001,keplm001,sanom001,mauej001,polaj001,castj006,buxtb001,rosae001,escoe001
74,20170408,D,DET,AL,4,zimmj003,kinsi001,castn001,cabrm001,martv001,uptoj001,mahtm001,mccaj001,jonej006,iglej001,BOS,AL,1,rodre004,holtb002,pedrd001,benia002,morem001,sandp001,bradj001,younc004,hernm003,vazqc001
75,20170408,N,HOU,AL,3,keucd001,sprig001,brega001,altuj001,corrc001,beltc001,gurry001,gonzm002,mccab002,marij002,KCA,AL,7,duffd001,gorda001,cainl001,hosme001,peres002,cuthc001,orlap001,escoa003,coloc002,buted001
76,20170408,N,TBA,AL,3,archc001,dickc002,kierk001,longe001,millb002,souzs001,morrl001,norrd001,smitm007,beckt001,TOR,AL,2,sanca006,travd001,donaj001,bautj002,morak001,tulot001,pears001,martr004,smoaj001,pillk001
77,20170408,N,TEX,AL,1,darvy001,gomec002,choos001,mazan001,napom001,odorr001,lucrj001,gallj002,rua-r001,andre001,OAK,AL,6,gravk001,semim001,joycm001,healr001,davik003,vogts001,lowrj001,alony001,canhm001,davir003
78,20170409,D,ARI,NL,3,corbp001,polla001,perad001,goldp001,lambj001,owinc001,descd001,drurb001,herrc001,corbp001,CLE,AL,2,klubc001,santc002,lindf001,guyeb001,encae001,ramij003,diazy001,gomey001,jacka001,klubc001
79,20170409,D,COL,NL,6,andet002,blacc001,parrg001,gonzc001,arenn001,stort001,reynm001,amara001,woltt001,andet002,LAN,NL,10,maedk001,forsl001,seagc001,turnj001,gutif001,puigy001,gonza003,herne001,barna001,maedk001
80,20170409,D,MIL,NL,4,daviz001,villj001,thame001,braur002,shawt001,santd002,pereh001,broxk001,bandj001,daviz001,CHN,NL,7,arrij001,schwk001,bryak001,rizza001,zobrb001,russa002,heywj001,montm001,arrij001,jay-j001
81,20170409,N,NYN,NL,5,syndn001,reyej001,cabra002,cespy001,brucj001,walkn001,dudal001,confm001,river003,syndn001,MIA,NL,2,volqe001,gordd002,realj001,yelic001,stanm004,bourj002,ozunm001,dietd001,rojam002,volqe001
82,20170409,D,PHI,NL,4,hellj001,hernc005,kendh001,herro001,franm004,saunm001,joset001,knapa001,galvf001,hellj001,WAS,NL,3,stras001,eatoa002,renda001,harpb003,murpd006,linda001,wertj001,drews001,lobaj001,stras001
83,20170409,D,PIT,NL,6,coleg001,fraza001,marts002,mccua001,polag001,bellj005,mercj002,gossp001,stewc001,coleg001,ATL,NL,5,tehej001,incie001,swand001,freef001,garca004,markn001,philb001,flowt001,petej002,tehej001
